VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
WDC0G5EB7K,Louisa,Bumpass,VA,23024,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10,0,,153874850,POINT (-77.73727 37.96459),,51109950101
5YJYGDEE8L,Kittitas,Cle Elum,WA,98922,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,13,109455524,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,53037975104
5YJ3E1EBXL,Chelan,Chelan,WA,98816,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,12,124022020,POINT (-120.01454 47.83985),PUD NO 1 OF CHELAN COUNTY,53007960302
5YJ3E1EA5J,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,39,235141224,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052105
1FADP5CU1E,Thurston,Tumwater,WA,98512,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,141584306,POINT (-122.92057 47.0031),PUGET SOUND ENERGY INC,53067010920
3FA6P0PU0D,Kitsap,Kingston,WA,98346,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23,244714032,POINT (-122.49771 47.79803),PUGET SOUND ENERGY INC,53035090102
1N4AZ1CP6J,King,Seattle,WA,98115,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,46,111913735,POINT (-122.31765 47.70013),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100
WA1VAAGE8K,Skagit,Mount Vernon,WA,98273,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,40,477309276,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952304
1N4AZ1CP4K,Kitsap,Port Orchard,WA,98366,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,26,1880896,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092500
5YJ3E1EB1L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,1,8038117,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051936
1N4BZ1CP7K,Yakima,Tieton,WA,98947,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,14,8518268,POINT (-120.75541 46.70257),PACIFICORP,53077002900
5YJ3E1EB2J,Snohomish,Edmonds,WA,98026,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,227624197,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
KNDCC3LD7J,Walla Walla,Walla Walla,WA,99362,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,16,336032735,POINT (-118.34261 46.07068),PACIFICORP,53071920902
1N4AZ1CP5J,Kitsap,Port Orchard,WA,98367,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,26,477961746,POINT (-122.65745 47.4916),PUGET SOUND ENERGY INC,53035092101
1N4AZ1CP0J,Kitsap,Port Orchard,WA,98367,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,26,292189299,POINT (-122.65745 47.4916),PUGET SOUND ENERGY INC,53035092704
JN1AZ0CP5C,Walla Walla,Walla Walla,WA,99362,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,16,193763377,POINT (-118.34261 46.07068),PACIFICORP,53071920702
1N4AZ0CP7F,King,Vashon,WA,98070,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,34,107310661,POINT (-122.4573 47.44929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027701
5YJ3E1EBXK,Lee,Smiths Station,AL,36877,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,,225833863,POINT (-85.08963 32.54086),,1081041901
5YJ3E1EB7K,Snohomish,Edmonds,WA,98026,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,277369837,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
1G1FZ6S09P,Stevens,Rice,WA,99167,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,7,220635467,POINT (-118.16165 48.42934),AVISTA CORP,53065950102
WVWKR7AU8H,Snohomish,Mukilteo,WA,98275,2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,21,152385635,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042006
1N4BZ0CP2G,Thurston,Olympia,WA,98506,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,231471747,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
JN1AZ0CPXB,Kitsap,Kingston,WA,98346,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,194667490,POINT (-122.49771 47.79803),PUGET SOUND ENERGY INC,53035090102
5YJ3E1EA2L,Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1,6161571,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052108
1N4AZ0CP9F,Kitsap,Bainbridge Island,WA,98110,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,265257807,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090800
JHMZC5F11L,Kitsap,Olalla,WA,98359,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,26,141818904,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092803
1G1RC6S55H,Kitsap,Bremerton,WA,98311,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,131574061,POINT (-122.6462 47.63132),PUGET SOUND ENERGY INC,53035091500
KNDCE3LG5N,Thurston,Yelm,WA,98597,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,176100060,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
WA1F2AFY1M,Kitsap,Olalla,WA,98359,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,26,142069518,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092803
1G1RB6S50J,Kitsap,Port Orchard,WA,98366,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,26,339154322,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092600
JTDKARFP7K,Snohomish,Lynnwood,WA,98036,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,1,228839138,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051932
5YJ3E1EB2K,Snohomish,Mountlake Terrace,WA,98043,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1,112628890,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,53061051100
1N4AZ0CP3G,Snohomish,Mountlake Terrace,WA,98043,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1,159655366,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,53061051302
5YJXCBE44G,Snohomish,Bothell,WA,98021,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,1,128480124,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938
1N4BZ0CP6G,King,Renton,WA,98058,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,11,348090725,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025702
3FA6P0PU3E,Thurston,Olympia,WA,98502,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,162528551,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
5YJ3E1EA3K,King,Kent,WA,98032,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,33,114339249,POINT (-122.23741 47.3807),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029205
5YJ3E1EA5J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,224736634,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
1N4BZ0CP5H,Snohomish,Edmonds,WA,98026,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,21,196443586,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061042003
1N4AZ0CP3E,Thurston,Lacey,WA,98513,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,214725241,POINT (-122.80277 46.99409),PUGET SOUND ENERGY INC,53067011622
5YJ3E1EB9J,Chelan,Leavenworth,WA,98826,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,12,474583189,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,53007960201
1G1RD6E43C,Yakima,Yakima,WA,98902,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,14,245530253,POINT (-120.52301 46.60138),PACIFICORP,53077000500
1G1RA6E43D,Thurston,Olympia,WA,98506,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,289198318,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012211
1N4AZ0CP9F,Snohomish,Everett,WA,98204,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,38,124173059,POINT (-122.25527 47.90456),PUGET SOUND ENERGY INC,53061041907
JTDKN3DPXC,Walla Walla,Walla Walla,WA,99362,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,16,197880357,POINT (-118.34261 46.07068),PACIFICORP,53071920901
WBY1Z4C51F,Thurston,Olympia,WA,98516,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,22,262318003,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,53067012221
1N4AZ0CP7D,Kitsap,Kingston,WA,98346,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,187831395,POINT (-122.49771 47.79803),PUGET SOUND ENERGY INC,53035090101
